,Ranking of the companies rank 1 to 100,Market capitalization in billion U.S. dollars
0,Saudi Arabian Oil Company (Saudi Aramco) (Saudi Arabia),1684.8
1,Microsoft (United States),1359.0
2,Apple (United States),1285.5
3,Amazon (United States),1233.4
4,Alphabet (United States),919.3
5,Facebook (United States),583.7
6,Alibaba (China),545.4
7,Tencent Holdings (China),509.7
8,Berkshire Hathaway (United States),455.4
9,Johnson & Johnson (United States),395.3
10,Visa (United States),383.9
11,Walmart (United States),344.4
12,Nestlé (Switzerland),304.1
13,Roche Holding (Switzerland),297.4
14,Procter & Gamble (United States),291.8
15,JPMorgan Chase (United States),291.7
16,Samsung Electronics (South Korea),278.7
17,UnitedHealth Group (United States),277.1
18,Mastercard (United States),276.1
19,Taiwan Semiconductor (Taiwan),265.5
20,Intel (United States),254.0
21,ICBC (China),242.3
22,Verizon Communications (United States),237.7
23,Home Depot (United States),236.1
24,Kweichow Moutai (China),225.5
25,AT&T (United States),218.6
26,Pfizer (United States),212.8
27,Bank of America (United States),208.6
28,China Construction Bank (China),203.8
29,Merck & Co. (United States),200.3
30,Coca-Cola (United States),197.1
31,ExxonMobil (United States),196.6
32,Walt Disney (United States),195.3
33,LVMH Moet Hennessy Louis Vuitton (France),194.3
34,Novartis (Switzerland),193.0
35,Ping An Insurance Group (China),187.2
36,Netflix (United States),184.7
37,PepsiCo (United States),183.6
38,Cisco Systems (United States),179.7
39,NVIDIA (United States),179.0
40,Toyota Motor (Japan),173.3
41,Chevron (United States),171.8
42,Comcast (United States),171.7
43,Raiffeisen Bank International (Austria),170.8
44,Adobe (United States),170.4
45,Oracle (United States),167.0
46,China Mobile (Hong Kong),164.9
47,Abbott Laboratories (United States),162.9
48,L'Oréal (France),162.5
49,Eli Lilly (United States),148.0
50,Agricultural Bank of China (China),147.2
51,Novo Nordisk (Denmark),146.8
52,Salesforce.com (United States),144.9
53,PayPal (United States),144.3
54,Tesla (United States),144.2
55,SAP (Germany),142.4
56,Amgen (United States),140.6
57,McDonald's (United States),139.5
58,AstraZeneca (United Kingdom),137.7
59,Bristol-Myers Squibb (United States),137.6
60,Nike (United States),135.6
61,Costco Wholesale (United States),133.8
62,Thermo Fisher Scientific (United States),132.2
63,Medtronic (Ireland),130.8
64,Unilever (Netherlands),130.6
65,Royal Dutch Shell (Netherlands),126.5
66,ASML Holding (Netherlands),124.5
67,Reliance Industries (India),123.8
68,Sanofi (France),122.5
69,AbbVie (United States),121.4
70,China Merchants Bank (China),120.9
71,Wells Fargo (United States),118.8
72,Accenture (Ireland),118.0
73,Philip Morris International (United States),116.2
74,Danaher (United States),113.9
75,NextEra Energy (United States),113.1
76,Bank of China (China),112.8
77,AIA Group (Hong Kong),111.8
78,IBM (United States),111.5
79,Lockheed Martin (United States),109.1
80,Broadcom (United States),108.6
81,Union Pacific (United States),108.4
82,BHP Group (Australia),107.1
83,Texas Instruments (United States),106.5
84,Gilead Sciences (United States),105.8
85,American Tower (United States),105.5
86,HSBC Holdings (United Kingdom),105.3
87,GlaxoSmithKline (United Kingdom),104.4
88,Charter Communications (United States),104.0
89,Citigroup (United States),101.1
90,Tata Consultancy Services (India),100.7
91,Honeywell International (United States),100.4
92,Linde (United Kingdom),96.6
93,Total (France),93.1
94,Postal Savings Bank Of China (PSBC) (China),92.0
95,CSL (Australia),92.0
96,Anheuser-Busch InBev (Belgium),89.9
97,Softbank (Japan),89.7
98,Starbucks (United States),89.6
99,British American Tobacco (United Kingdom),88.8
