,Country,Index value in points
0,Singapore,94.0
1,Netherlands,88.66
2,Belgium,88.54
3,Luxembourg,88.3
4,"Hong Kong, China",88.21
5,Ireland,87.97
6,Switzerland,86.79
7,Malta,86.5
8,Estonia,86.27
9,United Arab Emirates,85.95
10,Denmark,84.46
11,Cyprus,84.28
12,Czech Republic,84.04
13,Sweden,83.35
14,Slovak Republic,83.07
15,Finland,82.97
16,Austria,82.86
17,Hungary,82.69
18,Bahrain,82.54
19,Mauritius,82.16
20,Latvia,82.08
21,Georgia,82.02
22,United Kingdom,81.47
23,Germany,80.49
24,Portugal,80.17
25,Lithuania,79.56
26,Montenegro,78.06
27,France,78.06
28,Bulgaria,77.82
29,Norway,77.53
30,Slovenia,77.26
31,Malaysia,76.77
32,Spain,76.59
33,Panama,76.07
34,Qatar,76.06
35,Croatia,75.7
36,Seychelles,74.82
37,Poland,73.53
38,Serbia,73.42
39,Greece,72.88
40,Kuwait,72.48
41,"Micronesia, Fed. Sts.",72.25
42,Canada,71.71
43,"Macedonia, FYR",71.31
44,Romania,71.03
45,Azerbaijan,70.92
46,New Zealand,70.28
47,Italy,70.2
48,Chile,70.18
49,Albania,69.92
50,Israel,69.92
51,Armenia,69.51
52,Kiribati,69.24
53,Iceland,69.2
54,Jordan,69.04
55,Lebanon,69.0
56,Antigua and Barbuda,68.57
57,Australia,68.17
58,United States,68.13
59,Cambodia,67.97
60,"Macao, China",67.35
61,Oman,67.3
62,Thailand,67.06
63,Bermuda,66.87
64,Brunei Darussalam,66.8
65,Japan,66.65
66,Trinidad and Tobago,66.47
67,Marshall Islands,66.33
68,Mongolia,65.68
69,Moldova,65.3
70,St. Lucia,65.29
71,Ukraine,64.97
72,Nicaragua,64.91
73,Grenada,64.39
74,"Korea, Rep.",64.27
75,Costa Rica,64.14
76,Vanuatu,63.69
77,Dominica,63.38
78,Belarus,62.99
79,Mozambique,62.96
80,Jamaica,62.92
81,Belize,62.9
82,Aruba,62.86
83,Maldives,62.25
84,Kyrgyz Republic,62.04
85,El Salvador,61.96
86,Mexico,61.84
87,St. Vincent and the Grenadines,61.81
88,Equatorial Guinea,61.51
89,Peru,61.47
90,Barbados,61.11
91,Uruguay,61.08
92,Bosnia and Herzegovina,60.99
93,Saudi Arabia,60.83
94,St. Kitts and Nevis,60.8
95,Vietnam,60.4
96,Suriname,59.51
97,Honduras,59.39
98,Tonga,59.38
99,Djibouti,59.3
