,baseball team,Number of followers in thousands
0,New York Yankees,2493
1,LA Dodgers,2132
2,Boston Red Sox,1796
3,Chicago Cubs,1563
4,Toronto Blue Jays,1235
5,San Franciso Giants,1196
6,Houston Astros,1115
7,Atlanta Braves,1029
8,New York Mets,878
9,St Louis Cardinals,835
10,LA Angels,784
11,Kansas City Royals,773
12,Detroit Tigers,692
13,Philadelphia Phillies,690
14,Pittsburgh Pirates,620
15,Seattle Mariners,610
16,Washington Nationals,595
17,Texas Rangers,593
18,Cleveland Indians,546
19,Miami Marlins,472
20,Milwaukee Brewers,444
21,Cincinnati Reds,425
22,Baltimore Orioles,411
23,Colorado Rockies,410
24,San Diego Padres,405
25,Minnesota Twins,382
26,Oakland Athletics,377
27,Chicago White Sox,375
28,Arizona Diamondbacks,344
29,Tampa Bay Rays,301
