,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",64.12
1,Professional and business services,51.64
2,Government and government enterprises,38.29
3,Manufacturing,24.58
4,"Educational services, health care, and social assistance",24.3
5,Information,21.97
6,"Mining, quarrying, and oil and gas extraction",19.43
7,Wholesale trade,19.07
8,Retail trade,18.55
9,Construction,16.51
10,"Arts, entertainment, recreation, accommodation, and food services",15.94
11,Transportation and warehousing,12.35
12,Other services (except government and government enterprises),7.04
13,Utilities,3.57
14,"Agriculture, forestry, fishing, and hunting",3.05
