,Year,Number of cumulative cases
0,1/5/21,20470169
1,1/4/21,20258725
2,1/3/21,19974413
3,1/2/21,19578217
4,1/1/21,19346790
5,12/31/20,19346790
6,12/30/20,19147627
7,12/29/20,18972813
8,12/28/20,18827300
9,12/27/20,18648989
10,12/26/20,18503500
11,12/25/20,18311405
12,12/24/20,18090260
13,12/23/20,17895109
14,12/22/20,17712290
15,12/21/20,17515091
16,12/20/20,17314834
17,12/19/20,16912564
18,12/18/20,16682649
19,12/17/20,16446844
20,12/16/20,16245376
21,12/15/20,16041095
22,12/14/20,15860675
23,12/13/20,15648098
24,12/12/20,15404889
25,12/11/20,15203208
26,12/10/20,14972356
27,12/9/20,14755996
28,12/8/20,14570523
29,12/7/20,14397135
30,12/6/20,14191298
31,12/5/20,13978171
32,12/4/20,13759500
33,12/3/20,13563731
34,12/2/20,13385755
35,12/1/20,13234551
36,11/30/20,13082877
37,11/29/20,12939666
38,11/28/20,12763997
39,11/27/20,12622775
40,11/26/20,12441925
41,11/25/20,12276834
42,11/24/20,12119654
43,11/23/20,11972556
44,11/22/20,11789012
45,11/21/20,11597979
46,11/20/20,11413788
47,11/19/20,11249228
48,11/18/20,11085184
49,11/17/20,10933918
50,11/16/20,10796432
51,11/15/20,10641431
52,11/14/20,10460365
53,11/13/20,10266631
54,11/12/20,10124555
55,11/11/20,9990620
56,11/10/20,9868389
57,11/9/20,9763730
58,11/8/20,9636579
59,11/7/20,9504758
60,11/6/20,9387978
61,11/5/20,9281928
62,11/4/20,9193765
63,11/3/20,9108353
64,11/2/20,9032465
65,11/1/20,8952086
66,10/31/20,8852730
67,10/30/20,8763682
68,10/29/20,8683298
69,10/28/20,8611256
70,10/27/20,8548111
71,10/26/20,8485747
72,10/25/20,8403121
73,10/24/20,8320491
74,10/23/20,8248149
75,10/22/20,8184788
76,10/21/20,8124633
77,10/20/20,8065615
78,10/19/20,8019237
79,10/18/20,7966729
80,10/17/20,7896895
81,10/16/20,7833851
82,10/15/20,7774745
83,10/14/20,7728436
84,10/13/20,7682128
85,10/12/20,7636803
86,10/11/20,7583748
87,10/10/20,7525920
88,10/9/20,7471688
89,10/8/20,7419230
90,10/7/20,7380326
91,10/6/20,7341406
92,10/5/20,7305270
93,10/4/20,7256234
94,10/3/20,7206769
95,10/2/20,7160476
96,10/1/20,7115491
97,9/30/20,7077015
98,9/29/20,7044327
99,9/28/20,7009110
100,9/27/20,6960152
101,9/26/20,6910082
102,9/25/20,6868828
103,9/24/20,6828785
104,9/23/20,6779609
105,9/22/20,6740464
106,9/21/20,6703698
107,9/20/20,6662003
108,9/19/20,6613737
109,9/18/20,6571119
110,9/17/20,6530324
111,9/16/20,6496246
112,9/15/20,6462135
113,9/14/20,6426958
114,9/13/20,6386832
115,9/12/20,6341309
116,9/11/20,6304181
117,9/10/20,6272193
118,9/9/20,6248989
119,9/8/20,6222974
120,9/7/20,6189488
121,9/6/20,6144138
122,9/5/20,6095007
123,9/4/20,6050444
124,9/3/20,6011042
125,9/2/20,5968380
126,9/1/20,5936572
127,8/31/20,5899504
128,8/30/20,5855521
129,8/29/20,5811519
130,8/28/20,5765325
131,8/27/20,5719841
132,8/26/20,5682811
133,8/25/20,5649928
134,8/24/20,5612163
135,8/23/20,5567217
136,8/22/20,5521257
137,8/21/20,5477305
138,8/20/20,5431046
139,8/19/20,5393138
140,8/18/20,5354013
141,8/17/20,5312940
142,8/16/20,5258565
143,8/15/20,5203206
144,8/14/20,5150407
145,8/13/20,5094500
146,8/12/20,5039709
147,8/11/20,4999815
148,8/10/20,4951851
149,8/9/20,4897958
150,8/8/20,4836930
151,8/7/20,4781612
152,8/6/20,4728239
153,8/5/20,4678610
154,8/4/20,4629459
