,Year,GDP per capita in U.S. dollars
0,2025*,3641.01
1,2024*,3581.02
2,2023*,3541.22
3,2022*,3512.06
4,2021*,3449.42
5,2020*,3331.08
6,2019,3898.01
7,2018,4080.91
8,2017,4012.13
9,2016,3918.94
10,2015,4153.32
11,2014,5466.33
12,2013,5477.06
13,2012,5574.51
14,2011,5453.89
15,2010,4480.72
16,2009,3886.06
17,2008,4943.5
18,2007,3986.56
19,2006,3508.96
20,2005,3141.03
21,2004,2636.31
22,2003,2128.39
23,2002,1806.86
24,2001,1768.58
25,2000,1794.7
26,1999,1630.07
27,1998,1633.09
28,1997,1658.73
29,1996,1643.27
30,1995,1499.14
31,1994,1542.97
32,1993,1894.95
33,1992,1873.42
34,1991,1819.98
35,1990,2473.51
36,1989,2127.87
37,1988,2143.74
38,1987,2705.11
39,1986,2698.92
40,1985,2753.7
41,1984,2432.72
