,Response,Share of respondents
0,Clothes or sports goods,60%
1,"Household goods (eg furniture, toys etc)",49%
2,Holiday accommodation,44%
3,"Travel arrangements (eg transport tickets, car hire)",43%
4,Tickets for events,43%
5,"Films, music (including downloads)",39%
6,"Books, magazines, newspapers (including e-books and downloads)",34%
7,Food or groceries,34%
8,Electronic equipment (including cameras),29%
9,"Video games software, other computer software and upgrades (including downloads)",26%
10,Telecommunication services,22%
11,Computer hardware,16%
12,Medicine,14%
13,E-learning material,11%
