,Company,Sales in billion U.S. dollars
0,Expedia Inc.,72.4
1,The Priceline Group,68.1
2,American Express Global Business Travel,31.1
3,BCD Travel,24.6
4,Carlson Wagonlit Travel,22.4
5,HRG North America,16.0
6,Flight Centre Travel Group USA,14.4
7,American Express Travel,4.9
8,Travel Leaders Group,4.39
9,Fareportal,4.13
10,Corporate Travel Management,3.87
11,AAA Travel,3.74
12,Travel and Transport,2.86
13,Altour,2.58
14,Direct Travel,2.5
15,Frosch,1.75
16,Omega World Travel,1.4
17,JTB Americas Group,1.36
18,World Travel,1.2
19,Ovation Travel Group,1.14
