,Month,Inflation rate
0,Jul '20,0.7%
1,Jun '20,1%
2,May '20,0.4%
3,Apr '20,0.3%
4,Mar '20,-0.3%
5,Feb '20,-1.3%
6,Jan '20,-1%
7,Dec '19,-0.7%
8,Nov '19,-1.2%
9,Oct '19,-1.2%
10,Sep '19,-0.3%
11,Aug '19,0.3%
12,Jul '19,-0.4%
13,Jun '19,0.1%
14,May '19,0.2%
15,Apr '19,1.2%
16,Mar '19,1%
17,Feb '19,1.5%
18,Jan '19,0.8%
19,Dec '18,1.5%
20,Nov '18,1.3%
21,Oct '18,1.7%
22,Sep '18,1.5%
23,Aug '18,1.1%
24,Jul '18,1.5%
25,Jun '18,2.1%
26,May '18,1.6%
27,Apr '18,1.4%
28,Mar '18,0.9%
29,Feb '18,-0.4%
30,Jan '18,1%
31,Dec '17,0.6%
32,Nov '17,0.3%
33,Oct '17,0.4%
34,Sep '17,0.3%
35,Aug '17,-0.4%
36,Jul '17,0.3%
37,Jun '17,-0.6%
38,May '17,0.7%
39,Apr '17,0%
40,Mar '17,0.6%
41,Feb '17,1.8%
42,Jan '17,0.9%
43,Dec '16,0.9%
44,Nov '16,0.8%
45,Oct '16,0.8%
46,Sep '16,0.6%
47,Aug '16,1.3%
48,Jul '16,1.2%
49,Jun '16,0.6%
50,May '16,0.2%
51,Apr '16,0.1%
52,Mar '16,-0.1%
53,Feb '16,-0.4%
54,Jan '16,-1.4%
55,Dec '15,-1.2%
56,Nov '15,-0.6%
57,Oct '15,-0.6%
58,Sep '15,-1.3%
59,Aug '15,-1.1%
60,Jul '15,-1.5%
61,Jun '15,-0.8%
62,May '15,-1.2%
