,Year,GDP per capita in U.S. dollars
0,2024*,1147.79
1,2023*,1160.27
2,2022*,1179.29
3,2021*,1203.47
4,2020*,1236.19
5,2019*,1307.03
6,2018*,1503.4
7,2017*,1500.65
8,2016*,1252.7
9,2015*,1310.35
10,2014*,1727.03
11,2013*,1839.54
12,2012 *,1724.71
13,2011 *,1635.51
14,2010,1456.16
15,2009,1134.76
16,2008,1365.69
17,2007,1103.45
18,2006,1030.28
19,2005,691.79
20,2004,530.54
21,2003,429.01
22,2002,376.47
23,2001,376.99
24,2000,340.16
25,1999,330.28
26,1998,352.63
27,1997,440.7
28,1996,378.71
29,1995,410.54
30,1994,405.54
31,1993,405.59
32,1992,424.95
33,1991,446.78
34,1990,509.75
35,1989,561.83
36,1988,543.32
37,1987,332.27
38,1986,276.15
39,1985,412.85
40,1984,448.53
