,Month,Percentage change**
0,Jun 20,91.6%
1,May 20,50.3%
2,Apr 20,52.6%
3,Mar 20,33.8%
4,Feb 20,-9%
5,Jan 20,-13.9%
6,Dec 19,-2.8%
7,Nov 19,-17.8%
8,Oct 19,3.2%
9,Sep 19,-4.8%
10,Aug 19,-3.5%
11,Jul 19,-2.2%
12,Jun 19,6.9%
13,May 19,2.4%
14,Apr 19,10.8%
15,Mar 19,2.5%
16,Feb 19,8.7%
17,Jan 19,11.9%
18,Dec 18,13.4%
19,Nov 18,16.6%
20,Oct 18,13.1%
21,Sep 18,13.3%
22,Aug 18,22.8%
23,Jul 18,33.3%
24,Jun 18,21.7%
25,May 18,35.4%
26,Apr 18,24.9%
27,Mar 18,32.8%
28,Feb 18,21.4%
29,Jan 18,17.8%
30,Dec 17,9.9%
31,Nov 17,1%
32,Oct 17,4.4%
33,Sep 17,13.6%
34,Aug 17,22.3%
35,Jul 17,9.4%
36,Jun 17,14.7%
37,May 17,2.8%
38,Apr 17,10.5%
39,Mar 17,12.4%
40,Feb 17,15.9%
41,Jan 17,17.6%
42,Dec 16,11.7%
43,Nov 16,17.5%
44,Oct 16,20.3%
45,Sep 16,20.5%
46,Aug 16,15.4%
47,Jul 16,19.8%
48,Jun 16,16.7%
49,May 16,25.9%
50,Apr 16,23.2%
51,Mar 16,20.4%
52,Feb 16,24.4%
53,Jan 16,26.3%
54,Dec 15,28.8%
55,Nov 15,26.2%
56,Oct 15,24.4%
57,Sep 15,23.4%
58,Aug 15,7.3%
59,Jul 15,13.5%
60,Jun 15,17.7%
61,May 15,13.3%
62,Apr 15,5.8%
63,Mar 15,14.5%
64,Feb 15,10.2%
65,Jan 15,11.7%
66,Dec 14,3.7%
67,Nov 14,15.9%
68,Oct 14,1%
69,Sep 14,3.5%
70,Aug 14,15.5%
71,Jul 14,13%
72,Jun 14,5.1%
73,May 14,20.8%
74,Apr 14,27.9%
75,Mar 14,19.7%
76,Feb 14,19.3%
77,Jan 14,7.9%
