,Year,GDP per capita in U.S. dollars
0,2025,1056.77
1,2024,999.12
2,2023,935.86
3,2022,864.67
4,2021,819.65
5,2020,823.4
6,2019,816.36
7,2018,795.76
8,2017,784.14
9,2016,759.49
10,2015,759.76
11,2014,727.97
12,2013,709.83
13,2012,696.73
14,2011,636.44
15,2010,577.41
16,2009,554.56
17,2008,511.87
18,2007,415.71
19,2006,349.99
20,2005,293.25
21,2004,240.95
22,2003,215.3
23,2002,200.12
24,2001,209.12
25,2000,229.24
26,1999,262.56
27,1998,312.59
28,1997,319.39
29,1996,248.49
30,1995,226.63
31,1994,206.47
32,1993,301.09
33,1992,292.94
34,1991,276.23
35,1990,385.96
36,1989,413.15
37,1988,409.15
38,1987,284.74
39,1986,257.82
40,1985,225.78
