,Month,Index points
0,Jan 3,3.1
1,Jan 2,3.3
2,Jan 1,3.6
3,Dec 31,2.8
4,Dec 30,1.3
5,Dec 29,1.1
6,Dec 28,1.2
7,Dec 27,2.8
8,Dec 26,2.2
9,Dec 25,1.1
10,Dec 24,1.1
11,Dec 23,1.1
12,Dec 22,1.1
13,Dec 21,1.2
14,Dec 20,2.8
15,Dec 19,2.3
16,Dec 18,1.1
17,Dec 17,1.2
18,Dec 16,1.1
19,Dec 15,1.1
20,Dec 14,1.2
21,Dec 13,2.9
22,Dec 12,2.4
23,Dec 11,1.2
24,Dec 10,1.2
25,Dec 9,1.2
26,Dec 8,1.2
27,Dec 7,1.3
28,Dec 6,2.9
29,Dec 5,2.4
30,Dec 4,1.3
31,Dec 3,1.3
32,Dec 2,1.3
33,Dec 1,1.2
34,Nov 30,1.3
35,Nov 29,2.9
36,Nov 28,2.4
37,Nov 27,1.2
38,Nov 26,1.2
39,Nov 25,1.2
40,Nov 24,1.3
41,Nov 23,1.3
42,Nov 22,2.9
43,Nov 21,2.4
44,Nov 20,1.3
45,Nov 19,1.3
46,Nov 18,1.3
47,Nov 17,1.3
48,Nov 16,1.3
49,Nov 15,2.9
50,Nov 14,2.4
51,Nov 13,1.3
52,Nov 12,1.3
53,Nov 11,1.3
54,Nov 10,1.3
55,Nov 9,1.3
56,Nov 8,2.9
57,Nov 7,2.5
58,Nov 6,1.4
59,Nov 5,1.4
60,Nov 4,2.6
61,Nov 3,1.4
62,Nov 2,1.4
63,Nov 1,2.9
64,Oct 31,2.4
65,Oct 30,1.3
66,Oct 29,1.3
67,Oct 28,1.3
68,Oct 27,1.3
69,Oct 26,1.3
70,Oct 25,2.8
71,Oct 24,2.3
72,Oct 23,1.2
73,Oct 22,1.2
74,Oct 21,1.1
75,Oct 20,1.1
76,Oct 19,1.2
77,Oct 18,2.8
78,Oct 17,2.2
79,Oct 16,1.0
80,Oct 15,1.0
81,Oct 14,1.0
82,Oct 13,0.9
83,Oct 12,1.1
84,Oct 11,2.6
85,Oct 10,2.1
86,Oct 9,0.9
87,Oct 8,0.9
88,Oct 7,0.9
89,Oct 6,0.9
90,Oct 5,0.9
91,Oct 4,2.5
92,Oct 3,1.9
93,Oct 2,0.8
94,Oct 1,0.8
95,Sept 30,0.7
96,Sept 29,0.7
97,Sept 28,0.7
98,Sept 27,2.4
99,Sept 26,1.8
100,Sept 25,0.7
101,Sept 24,0.7
102,Sept 23,0.7
103,Sept 22,0.7
104,Sept 21,0.8
105,Sept 20,2.5
106,Sept 19,1.9
107,Sept 18,0.8
108,Sept 17,0.8
109,Sept 16,0.8
110,Sept 15,0.7
111,Sept 14,0.8
112,Sept 13,2.3
113,Sept 12,1.9
114,Sept 11,0.8
115,Sept 10,0.8
116,Sept 9,0.8
117,Sept 8,0.7
118,Sept 7,0.8
119,Sept 6,2.4
120,Sept 5,1.9
121,Sept 4,0.7
122,Sept 3,0.7
123,Sept 2,0.7
124,Sept 1,0.7
125,Aug 31,0.8
126,Aug 30,2.2
127,Aug 29,1.8
128,Aug 28,0.8
129,Aug 27,0.9
130,Aug 26,0.8
