,Response,Share of respondents
0,Internet/online retailers*,62%
1,Mass merchants,50%
2,Traditional department stores,26%
3,Supermarkets or grocery stores,26%
4,Off-price stores,24%
5,Warehouse membership clubs,23%
6,Bookstores,23%
7,Electronics/office supply/computer stores,22%
8,Specialty beauty stores,21%
9,Home improvements stores,21%
10,Pet stores,17%
11,Furniture or home furnishings stores,16%
12,Dollar stores,16%
13,Specialty arts/crafts retailer,16%
14,Outlet stores/centers,16%
15,Specialty clothing stores,16%
