,Year,Population (in millions)
0,2020,10.2
1,2019,10.23
2,2018,10.26
3,2017,10.29
4,2016,10.33
5,2015,10.37
6,2014,10.42
7,2013,10.47
8,2012,10.53
9,2011,10.57
10,2010,10.6
11,2009,10.6
12,2008,10.6
13,2007,10.57
14,2006,10.54
15,2005,10.51
16,2004,10.47
17,2003,10.43
18,2002,10.39
19,2001,10.34
20,2000,10.3
21,1999,10.25
22,1998,10.21
23,1997,10.17
24,1996,10.13
25,1995,10.09
26,1994,10.05
27,1993,10
28,1992,9.95
29,1991,9.92
30,1990,9.9
31,1989,9.89
32,1988,9.9
33,1987,9.91
34,1986,9.93
35,1985,9.93
36,1984,9.92
37,1983,9.9
38,1982,9.87
39,1981,9.82
40,1980,9.75
41,1979,9.66
42,1978,9.55
43,1977,9.43
44,1976,9.3
45,1975,9.17
46,1974,9.04
47,1973,8.91
48,1972,8.79
49,1971,8.7
50,1970,8.65
51,1969,8.65
52,1968,8.69
53,1967,8.75
54,1966,8.81
55,1965,8.86
56,1964,8.89
57,1963,8.9
58,1962,8.89
59,1961,8.87
60,1960,8.84
61,1959,8.81
62,1958,8.78
63,1957,8.73
64,1956,8.68
65,1955,8.63
66,1954,8.56
67,1953,8.5
68,1952,8.45
69,1951,8.42
70,1950,8.42
71,1949,8.35
72,1948,8.27
73,1947,8.19
74,1946,8.12
75,1945,8.04
76,1944,7.96
77,1943,7.89
78,1942,7.81
79,1941,7.73
80,1940,7.65
81,1939,7.57
82,1938,7.48
83,1937,7.39
84,1936,7.3
85,1935,7.21
86,1934,7.12
87,1933,7.03
88,1932,6.94
89,1931,6.86
90,1930,6.78
91,1929,6.7
92,1928,6.62
93,1927,6.54
94,1926,6.46
95,1925,6.39
96,1924,6.31
97,1923,6.24
98,1922,6.16
99,1921,6.1
100,1920,6.05
101,1919,6.02
102,1918,5.99
103,1917,5.98
104,1916,5.96
105,1915,5.95
106,1914,5.93
107,1913,5.92
108,1912,5.9
109,1911,5.88
110,1910,5.85
111,1909,5.82
112,1908,5.78
113,1907,5.73
114,1906,5.68
115,1905,5.63
116,1904,5.58
117,1903,5.54
118,1902,5.49
119,1901,5.45
120,1900,5.4
121,1899,5.36
122,1898,5.32
123,1897,5.28
124,1896,5.25
125,1895,5.21
126,1894,5.17
127,1893,5.13
128,1892,5.1
129,1891,5.06
130,1890,5.02
131,1889,4.98
132,1888,4.94
133,1887,4.9
134,1886,4.85
135,1885,4.81
136,1884,4.77
137,1883,4.73
138,1882,4.69
139,1881,4.65
140,1880,4.61
141,1879,4.58
142,1878,4.55
143,1877,4.52
144,1876,4.49
145,1875,4.46
146,1874,4.44
147,1873,4.41
148,1872,4.38
149,1871,4.35
150,1870,4.32
151,1869,4.29
152,1868,4.26
153,1867,4.22
154,1866,4.19
155,1865,4.16
156,1864,4.13
157,1863,4.09
158,1862,4.06
159,1861,4.03
160,1860,4.01
161,1859,3.98
162,1858,3.96
163,1857,3.94
164,1856,3.92
165,1855,3.91
166,1854,3.89
167,1853,3.87
168,1852,3.85
169,1851,3.84
170,1850,3.82
171,1849,3.81
172,1848,3.79
173,1847,3.78
174,1846,3.77
175,1845,3.76
176,1844,3.75
177,1843,3.74
178,1842,3.73
179,1841,3.71
180,1840,3.7
181,1839,3.68
182,1838,3.66
183,1837,3.64
184,1836,3.62
185,1835,3.6
186,1834,3.57
187,1833,3.55
188,1832,3.53
189,1831,3.51
190,1830,3.49
191,1829,3.47
192,1828,3.45
193,1827,3.43
194,1826,3.41
195,1825,3.39
196,1824,3.37
197,1823,3.35
198,1822,3.34
199,1821,3.31
200,1820,3.29
201,1819,3.27
202,1818,3.24
203,1817,3.21
204,1816,3.18
205,1815,3.15
206,1814,3.12
207,1813,3.09
208,1812,3.07
209,1811,3.04
210,1810,3.01
211,1809,2.98
212,1808,2.96
213,1807,2.93
214,1806,2.9
215,1805,2.88
216,1804,2.85
217,1803,2.83
218,1802,2.8
219,1801,2.78
220,1800,2.75
221,...,-
222,1768,2.41
