,Year,"Rate per 1,000 women aged 15-19"
0,1973,23.0
1,1974,27.3
2,1975,31.5
3,1976,34.6
4,1977,37.8
5,1978,40.0
6,1979,42.8
7,1980,43.3
8,1981,43.4
9,1982,43.2
10,1983,43.7
11,1984,43.4
12,1985,44.0
13,1986,42.8
14,1987,42.3
15,1988,44.0
16,1989,42.5
17,1990,41.1
18,1991,37.9
19,1992,35.7
20,1993,34.4
21,1994,32.1
22,1995,29.9
23,1996,29.0
24,1997,27.5
25,1998,26.2
26,1999,25.1
27,2000,24.3
28,2001,22.9
29,2002,21.5
30,2003,20.8
31,2004,19.9
32,2005,19.1
33,2006,19.3
34,2007,18.6
35,2008,18.1
36,2009,16.6
37,2010,15.0
38,2011,13.5
39,2012,11.9
40,2013,10.6
