,State,Gross revenue (in million U.S. dollars)
0,"Las Vegas Strip, Nev.",6031
1,"Atlantic City, N.J.",5018
2,"Chicagoland, Ill./Ind.",2441
3,"Detroit, Mich.",1229
4,"Tunica/Lula, Miss.",1187
5,Connecticut,983
6,"St. Louis, Mo./Ill.",960
7,"Reno/Sparks, Nev.",920
8,"Boulder Strip, Nev.",886
9,"Shreveport, La.",814
10,"Lawrence/Rising Sun/Belterra, Ind.",754
11,"Kansas City, Mo.",719
12,"Downtown Vegas, Nev.",654
13,"Laughlin, Nev.",621
14,"Biloxi, Miss.",584
15,"New Orleans, La.",534
16,"Black Hawk, Colo.",532
17,"Lake Charles, La.",462
18,"Council Bluffs, Iowa",434
19,"Charles Town, W.Va.",414
