,city  in Mexico,PM2.5 concentration in μg/m³
0,Toluca,29.4
1,Nezahualcóyotl,27.1
2,Ecatepec de Morelos,25.4
3,Tlalnepantla,24.8
4,Garcia,24.3
5,Minatitlan,24.0
6,Alvaro Obregon,23.9
7,Apodaca,23.2
8,Gustavo A. Madero,22.8
9,Cuernavaca,22.8
10,Santa Catarina,22.6
11,León,20.9
12,Salamanca,20.9
13,General Escobedo,20.9
14,Patzcuaro,20.8
15,San Nicolas de los Garza,20.8
16,Mexico City,20.5
17,Celaya,20.0
18,Coyoacan,19.6
19,Monterrey,19.3
20,Irapuato,19.2
21,Guadalajara,18.9
22,Vinas del Sol,18.4
23,Tlalpan,18.4
24,Mexicali,17.7
