,Year,Sex ratio by age group (female = 100)
0,0 to 4 years,113.62
1,5 to 9 years,116.85
2,10 to 14 years,119.1
3,15 to 19 years,118.39
4,20 to 24 years,114.61
5,25 to 29 years,106.65
6,30 to 34 years,101.28
7,35 to 39 years,102.1
8,40 to 44 years,103.77
9,45 to 49 years,103.58
10,50 to 54 years,102.1
11,55 to 59 years,100.81
12,60 to 64 years,100.74
13,65 to 69 years,95.9
14,70 to 74 years,94.11
15,75 to 79 years,87.76
16,80 to 84 years,77.24
17,85 to 89 years,70.37
18,90 to 94 years,51.53
19,95 years and older,35.29
