,Year,Inflation rate compared to previous year
0,2024*,5%
1,2023*,5%
2,2022*,5%
3,2021*,5%
4,2020*,5%
5,2019*,3.51%
6,2018,1.36%
7,2017,4.84%
8,2016,5.72%
9,2015,2.51%
10,2014,1.78%
11,2013,4.22%
12,2012,6.29%
13,2011,5.67%
14,2010,2.31%
15,2009,10.35%
16,2008,15.44%
17,2007,9.08%
18,2006,8.83%
19,2005,9.12%
20,2004,11.98%
21,2003,7.45%
22,2002,1.98%
23,2001,3.36%
24,2000,3.91%
25,1999,-2.42%
26,1998,6.46%
27,1997,11.76%
28,1996,13.19%
29,1995,55.97%
30,1994,21%
31,1993,12.47%
32,1992,9.5%
33,1991,19.6%
34,1990,4.2%
35,1989,1.04%
36,1988,2.91%
37,1987,4.15%
38,1986,-1.1%
39,1985,1.73%
40,1984,5.36%
