,Country,Number of players
0,Germany,203756
1,Netherlands,155035
2,France,118842
3,Sweden,117729
4,Norway,103636
5,England,102804
6,Denmark,62280
7,Romania,52572
8,Spain,46208
9,Turkey,40213
10,Finland,32221
11,Belgium,28416
12,Poland,26727
13,Russia,25865
14,Italy,23665
15,Switzerland,23551
16,Republic of Ireland,22960
17,Austria,20548
18,Hungary,13900
19,Czech Republic,11353
20,Scotland,10434
21,Portugal,9067
22,Iceland,7375
23,Wales,6546
24,Greece,6320
25,Ukraine,6105
26,Slovakia,3101
27,Serbia,2464
28,Croatia,2458
29,Slovenia,2173
30,Estonia,1565
31,Northern Ireland,1375
32,Bulgaria,1303
33,Lithuania,1211
34,Latvia,1200
35,Cyprus,1000
36,Malta,736
