,Quarter,Number of users in millions
0,Q3 '20,249
1,Q2 '20,271
2,Q1 '20,273
3,Q4 '19,249
4,Q3 '19,247
5,Q2 '19,258
6,Q1 '19,272
7,Q4 '18,268
8,Q3' 18,262
9,Q2 '18,270
10,Q1 '18,285
11,Q4 '17,290
12,Q3 '17,293
13,Q2 '17,314
14,Q1 '17,342
15,Q4 '16,355
16,Q3 '16,394
17,Q2 '16,409
18,Q1 '16,463
19,Q4 '15,449
20,Q3 '15,474
21,Q2 '15,501
22,Q1 '15,550
23,Q4 '14,533
24,Q3 '14,495
25,Q2 '14,485
26,Q1 '14,481
27,Q4 '13,408
28,Q3 '13,361
29,Q2 '13,265
30,Q1 '13,138
31,Q4 '12,67
32,Q3 '12,52
33,Q2 '12,49
34,Q1 '12,30
