,Month,Number of cases
0,"Jan 6, 2021",58780
1,"Jan 5, 2021",58749
2,"Jan 4, 2021",58721
3,"Jan 3, 2021",58697
4,"Jan 2, 2021",58662
5,"Jan 1, 2021",58629
6,"Dec 31, 2020",58599
7,"Dec 30, 2020",58569
8,"Dec 29, 2020",58542
9,"Dec 28, 2020",58529
10,"Dec 27, 2020",58524
11,"Dec 26, 2020",58519
12,"Dec 25, 2020",58509
13,"Dec 24, 2020",58495
14,"Dec 23, 2020",58482
15,"Dec 22, 2020",58461
16,"Dec 21, 2020",58432
17,"Dec 20, 2020",58422
18,"Dec 19, 2020",58403
19,"Dec 18, 2020",58386
20,"Dec 17, 2020",58377
21,"Dec 16, 2020",58353
22,"Dec 15, 2020",58341
23,"Dec 14, 2020",58325
24,"Dec 13, 2020",58320
25,"Dec 12, 2020",58313
26,"Dec 11, 2020",58305
27,"Dec 10, 2020",58297
28,"Dec 9, 2020",58291
29,"Dec 8, 2020",58285
30,"Dec 7, 2020",58273
31,"Dec 6, 2020",58260
32,"Dec 5, 2020",58255
33,"Dec 4, 2020",58242
34,"Dec 3, 2020",58239
35,"Dec 2, 2020",58230
36,"Dec 1, 2020",58228
37,"Nov 30, 2020",58218
38,"Nov 29, 2020",58213
39,"Nov 28, 2020",58205
40,"Nov 27, 2020",58199
41,"Nov 26, 2020",58195
42,"Nov 25, 2020",58190
43,"Nov 24, 2020",58183
44,"Nov 23, 2020",58165
45,"Nov 22, 2020",58160
46,"Nov 21, 2020",58148
47,"Nov 20, 2020",58143
48,"Nov 19, 2020",58139
49,"Nov 18, 2020",58135
50,"Nov 17, 2020",58130
51,"Nov 16, 2020",58124
52,"Nov 15, 2020",58119
53,"Nov 14, 2020",58116
54,"Nov 13, 2020",58114
55,"Nov 12, 2020",58102
56,"Nov 11, 2020",58091
57,"Nov 10, 2020",58073
58,"Nov 9, 2020",58064
59,"Nov 8, 2020",58056
60,"Nov 7, 2020",58054
61,"Nov 6, 2020",58047
62,"Nov 5, 2020",58043
63,"Nov 4, 2020",58036
64,"Nov 3, 2020",58029
65,"Nov 2, 2020",58020
66,"Nov 1, 2020",58019
67,"Oct 31, 2020",58015
68,"Oct 30, 2020",58003
69,"Oct 29, 2020",57994
70,"Oct 28, 2020",57987
71,"Oct 27, 2020",57980
72,"Oct 26, 2020",57973
73,"Oct 25, 2020",57970
74,"Oct 24, 2020",57965
75,"Oct 23, 2020",57951
76,"Oct 22, 2020",57941
77,"Oct 21, 2020",57933
78,"Oct 20, 2020",57921
79,"Oct 19, 2020",57915
80,"Oct 18, 2020",57911
81,"Oct 17, 2020",57904
82,"Oct 16, 2020",57901
83,"Oct 15, 2020",57892
84,"Oct 14, 2020",57889
85,"Oct 13, 2020",57884
86,"Oct 12, 2020",57880
87,"Oct 11, 2020",57876
88,"Oct 10, 2020",57866
89,"Oct 9, 2020",57859
90,"Oct 8, 2020",57849
91,"Oct 7, 2020",57840
92,"Oct 6, 2020",57830
93,"Oct 5, 2020",57819
94,"Oct 4, 2020",57812
95,"Oct 3, 2020",57800
96,"Oct 2, 2020",57794
97,"Oct 1, 2020",57784
98,"Sep 30, 2020",57765
99,"Sep 29, 2020",57742
100,"Sep 28, 2020",57715
101,"Sep 27, 2020",57700
102,"Sep 26, 2020",57685
103,"Sep 25, 2020",57665
104,"Sep 24, 2020",57654
105,"Sep 23, 2020",57639
106,"Sep 22, 2020",57627
107,"Sep 21, 2020",57606
108,"Sep 20, 2020",57576
109,"Sep 19, 2020",57558
110,"Sep 18, 2020",57543
111,"Sep 17, 2020",57532
112,"Sep 16, 2020",57514
113,"Sep 15, 2020",57488
114,"Sep 14, 2020",57454
115,"Sep 13, 2020",57406
116,"Sep 12, 2020",57357
117,"Sep 11, 2020",57315
118,"Sep 10, 2020",57229
119,"Sep 9, 2020",57166
120,"Sep 8, 2020",57091
121,"Sep 7, 2020",57044
122,"Sep 6, 2020",57022
123,"Sep 5, 2020",56982
124,"Sep 4, 2020",56948
125,"Sep 3, 2020",56908
126,"Sep 2, 2020",56860
127,"Sep 1, 2020",56852
128,"Aug 31, 2020",56812
129,"Aug 30, 2020",56771
130,"Aug 29, 2020",56717
131,"Aug 28, 2020",56666
132,"Aug 27, 2020",56572
133,"Aug 26, 2020",56495
134,"Aug 25, 2020",56435
135,"Aug 24, 2020",56404
136,"Aug 23, 2020",56353
137,"Aug 22, 2020",56266
138,"Aug 21, 2020",56216
139,"Aug 20, 2020",56099
140,"Aug 19, 2020",56031
141,"Aug 18, 2020",55938
142,"Aug 17, 2020",55838
143,"Aug 16, 2020",55747
144,"Aug 15, 2020",55661
145,"Aug 14, 2020",55580
146,"Aug 13, 2020",55497
147,"Aug 12, 2020",55395
148,"Aug 11, 2020",55353
149,"Aug 10, 2020",55292
150,"Aug 9, 2020",55104
151,"Aug 8, 2020",54929
152,"Aug 7, 2020",54797
153,"Aug 6, 2020",54555
154,"Aug 5, 2020",54254
155,"Aug 4, 2020",53346
156,"Aug 3, 2020",53051
157,"Aug 2, 2020",52825
158,"Aug 1, 2020",52512
159,"Jul 31, 2020",52205
160,"Jul 30, 2020",51809
161,"Jul 29, 2020",51531
162,"Jul 28, 2020",51197
163,"Jul 27, 2020",50838
164,"Jul 26, 2020",50369
165,"Jul 25, 2020",49888
166,"Jul 24, 2020",49375
167,"Jul 23, 2020",49098
168,"Jul 22, 2020",48744
169,"Jul 21, 2020",48434
170,"Jul 20, 2020",48035
171,"Jul 19, 2020",47912
172,"Jul 18, 2020",47655
173,"Jul 17, 2020",47453
174,"Jul 16, 2020",47126
175,"Jul 15, 2020",46878
176,"Jul 14, 2020",46629
177,"Jul 13, 2020",46283
178,"Jul 12, 2020",45961
179,"Jul 11, 2020",45783
180,"Jul 10, 2020",45613
181,"Jul 9, 2020",45423
182,"Jul 8, 2020",45298
183,"Jul 7, 2020",45140
184,"Jul 6, 2020",44983
185,"Jul 5, 2020",44800
186,"Jul 4, 2020",44664
187,"Jul 3, 2020",44479
188,"Jul 2, 2020",44310
189,"Jul 1, 2020",44122
190,"Jun 30, 2020",43907
191,"Jun 29, 2020",43661
192,"Jun 28, 2020",43459
193,"Jun 27, 2020",43246
194,"Jun 26, 2020",42955
195,"Jun 25, 2020",42736
196,"Jun 24, 2020",42623
197,"Jun 23, 2020",42432
198,"Jun 22, 2020",42313
199,"Jun 21, 2020",42095
200,"Jun 20, 2020",41833
201,"Jun 19, 2020",41615
202,"Jun 18, 2020",41473
203,"Jun 17, 2020",41216
204,"Jun 16, 2020",40969
205,"Jun 15, 2020",40818
206,"Jun 14, 2020",40604
207,"Jun 13, 2020",40197
208,"Jun 12, 2020",39850
209,"Jun 11, 2020",39387
210,"Jun 10, 2020",38965
211,"Jun 9, 2020",38514
212,"Jun 8, 2020",38296
213,"Jun 7, 2020",37910
214,"Jun 6, 2020",37527
215,"Jun 5, 2020",37183
216,"Jun 4, 2020",36922
217,"Jun 3, 2020",36405
218,"Jun 2, 2020",35836
219,"Jun 1, 2020",35292
220,"May 31, 2020",34884
221,"May 30, 2020",34366
222,"May 29, 2020",33860
223,"May 28, 2020",33249
224,"May 27, 2020",32876
225,"May 26, 2020",32343
226,"May 25, 2020",31960
227,"May 24, 2020",31616
228,"May 23, 2020",31068
229,"May 22, 2020",30426
230,"May 21, 2020",29812
231,"May 20, 2020",29364
232,"May 19, 2020",28794
233,"May 18, 2020",28343
234,"May 17, 2020",28038
235,"May 16, 2020",27356
236,"May 15, 2020",26891
237,"May 14, 2020",26098
238,"May 13, 2020",25346
239,"May 12, 2020",24671
240,"May 11, 2020",23787
241,"May 10, 2020",23336
242,"May 9, 2020",22460
243,"May 8, 2020",21707
244,"May 7, 2020",20939
245,"May 6, 2020",20198
246,"May 5, 2020",19410
247,"May 4, 2020",18778
248,"May 3, 2020",18205
249,"May 2, 2020",17548
250,"May 1, 2020",17101
251,"Apr 30, 2020",16169
252,"Apr 29, 2020",15641
253,"Apr 28, 2020",14951
254,"Apr 27, 2020",14423
255,"Apr 26, 2020",13624
256,"Apr 25, 2020",12693
257,"Apr 24, 2020",12075
258,"Apr 23, 2020",11178
259,"Apr 22, 2020",10141
260,"Apr 21, 2020",9125
261,"Apr 20, 2020",8014
262,"Apr 19, 2020",6588
263,"Apr 18, 2020",5992
264,"Apr 17, 2020",5050
265,"Apr 16, 2020",4427
266,"Apr 15, 2020",3699
267,"Apr 14, 2020",3252
268,"Apr 13, 2020",2918
269,"Apr 12, 2020",2532
270,"Apr 11, 2020",2299
271,"Apr 10, 2020",2108
272,"Apr 9, 2020",1910
273,"Apr 8, 2020",1623
274,"Apr 7, 2020",1481
275,"Apr 6, 2020",1375
276,"Apr 5, 2020",1309
277,"Apr 4, 2020",1189
278,"Apr 3, 2020",1114
279,"Apr 2, 2020",1049
280,"Apr 1, 2020",1000
281,"Mar 31, 2020",926
282,"Mar 30, 2020",879
283,"Mar 29, 2020",844
284,"Mar 28, 2020",802
285,"Mar 27, 2020",732
286,"Mar 26, 2020",683
287,"Mar 25, 2020",631
288,"Mar 24, 2020",558
289,"Mar 23, 2020",509
290,"Mar 22, 2020",455
291,"Mar 21, 2020",432
292,"Mar 20, 2020",385
293,"Mar 19, 2020",345
294,"Mar 18, 2020",313
295,"Mar 17, 2020",266
296,"Mar 16, 2020",243
297,"Mar 15, 2020",226
298,"Mar 14, 2020",212
299,"Mar 13, 2020",200
300,"Mar 12, 2020",187
301,"Mar 11, 2020",178
302,"Mar 10, 2020",166
303,"Mar 9, 2020",160
304,"Mar 8, 2020",150
305,"Mar 7, 2020",138
306,"Mar 6, 2020",130
307,"Mar 5, 2020",117
308,"Mar 4, 2020",112
309,"Mar 3, 2020",110
310,"Mar 2, 2020",108
311,"Mar 1, 2020",106
312,"Feb 29, 2020",102
313,"Feb 28, 2020",98
314,"Feb 27, 2020",96
315,"Feb 26, 2020",93
316,"Feb 25, 2020",91
317,"Feb 24, 2020",90
318,"Feb 23, 2020",89
319,"Feb 22, 2020",89
320,"Feb 21, 2020",86
321,"Feb 20, 2020",85
322,"Feb 19, 2020",84
323,"Feb 18, 2020",81
324,"Feb 17, 2020",77
325,"Feb 16, 2020",75
326,"Feb 15, 2020",72
327,"Feb 14, 2020",67
328,"Feb 13, 2020",58
329,"Feb 12, 2020",50
330,"Feb 11, 2020",47
331,"Feb 10, 2020",45
332,"Feb 9, 2020",43
333,"Feb 8, 2020",40
334,"Feb 7, 2020",33
335,"Feb 6, 2020",30
336,"Feb 5, 2020",28
337,"Feb 4, 2020",24
338,"Feb 3, 2020",18
339,"Feb 2, 2020",18
340,"Feb 1, 2020",18
341,"Jan 31, 2020",16
342,"Jan 30, 2020",13
343,"Jan 29, 2020",10
344,"Jan 28, 2020",7
345,"Jan 27, 2020",5
346,"Jan 26, 2020",4
347,"Jan 25, 2020",4
348,"Jan 24, 2020",3
349,"Jan 23, 2020",1
