,Year,GDP per capita in U.S. dollars
0,2025,701.23
1,2024,688.98
2,2023,682.86
3,2022,682.67
4,2021,713.79
5,2020,734.6
6,2019,771.81
7,2018,849.85
8,2017,1126.55
9,2016,1403.15
10,2015,1698.08
11,2014,1628.5
12,2013,1462.58
13,2012,1396.29
14,2011,2034.46
15,2010,1637.42
16,2009,1401.24
17,2008,1700.51
18,2007,1599.6
19,2006,1249.77
20,2005,996.68
21,2004,772.94
22,2003,635.58
23,2002,554.65
24,2001,492.68
25,2000,422.32
26,1999,352.44
27,1998,366.58
28,1997,350.72
29,1996,292.91
30,1995,239.51
31,1994,205.92
32,1993,186.51
33,1992,113.48
34,1991,95.29
35,1990,87.2
36,1989,696.39
37,1988,404.71
38,1987,516.78
39,1986,328.59
40,1985,253.18
