,Year,Inflation rate compared to previous year
0,2025*,2.55%
1,2024*,2.61%
2,2023*,2.67%
3,2022*,2.67%
4,2021*,2.5%
5,2020*,2.89%
6,2019,3.83%
7,2018,4.63%
8,2017,1.34%
9,2016,-1.56%
10,2015,-0.6%
11,2014,1.08%
12,2013,4%
13,2012,3.34%
14,2011,5.8%
15,2010,6.11%
16,2009,5.58%
17,2008,7.85%
18,2007,4.83%
19,2006,6.59%
20,2005,9%
21,2004,11.86%
22,2003,15.37%
23,2002,22.5%
24,2001,34.45%
25,2000,45.67%
26,1999,45.8%
27,1998,59.1%
28,1997,154.76%
29,1996,38.81%
30,1995,32.27%
31,1994,136.74%
32,1993,256.11%
33,1992,210.39%
34,1991,161.12%
35,1990,127.9%
36,1989,0.9%
37,1988,2.6%
38,1987,1.1%
39,1986,0.7%
40,1985,-0.2%
