,Stadium,Capacity
0,Signal Iduna Park (Borussia Dortmund),81359
1,Allianz Arena (FC Bayern Munich),75024
2,Olympiastadion (Hertha BSC Berlin),74400
3,Veltins Arena (FC Schalke 04),62271
4,Merkur Spiel-Arena (Fortuna Düsseldorf),54600
5,Borussia Park (Borussia Mönchengladbach),54022
6,Commerzbank-Arena (Eintracht Frankfurt),51500
7,RheinEnergieStadion (1. FC Köln),50997
8,Red Bull Arena (Leipzig),42558
9,Wohninvest Weserstadion (SV Werder Bremen),42100
10,Opel Arena (1. FSV Mainz 05),34000
11,WWK Arena (FC Augsburg),30660
12,BayArena (Bayer 04 Leverkusen),30210
13,PreZero Arena (TSG Hoffeneim),30150
14,Volkswagen Arena (VfL Wolfsburg),30000
15,Schwarzwald Stadion (SC Freiburg),24000
16,An der Alten Försterei (1. FC Union Berlin),22012
17,Benteler Arena (SC Paderborn 07),15000
