,Quarter,Viewers in thousands
0,Q3 2019,20845
1,Q2 2019,19763
2,Q1 2019,20761
3,Q4 2018,23245
4,Q3 2018,20794
5,Q2 2018,21226
6,Q1 2018,21736
7,Q4 2017,23403
8,Q3 2017,21072
9,Q2 2017,21713
10,Q1 2017,22628
11,Q4 2016,24384
12,Q3 2016,23498
13,Q2 2016,23124
14,Q1 2016,24458
15,Q4 2015,25141
16,Q3 2015,22097
17,Q2 2015,23013
18,Q1 2015,24446
19,Q4 2014,25746
20,Q3 2014,24147
21,Q2 2014,23849
22,Q1 2014,25495
23,Q4 2013,24671
24,Q3 2013,22053
25,Q2 2013,23724
26,Q1 2013,25614
27,Q4 2012,25173
28,Q3 2012,24147
29,Q2 2012,24422
30,Q1 2012,25785
