,Date (dd-mm-yyyy),Emerging Markets Bond Index (EMBI+)
0,27/10/2020,315
1,26/10/2020,317
2,23/10/2020,310
3,22/10/2020,306
4,21/10/2020,306
5,20/10/2020,305
6,19/10/2020,306
7,16/10/2020,307
8,15/10/2020,310
9,14/10/2020,309
10,13/10/2020,311
11,12/10/2020,308
12,9/10/2020,309
13,8/10/2020,315
14,7/10/2020,320
15,6/10/2020,328
16,5/10/2020,331
17,2/10/2020,341
18,1/10/2020,343
19,30/09/2020,343
20,29/09/2020,353
21,28/09/2020,347
22,25/09/2020,346
23,24/09/2020,348
24,23/09/2020,348
25,22/09/2020,332
26,21/09/2020,327
27,18/09/2020,313
28,17/09/2020,310
29,16/09/2020,306
30,15/09/2020,307
31,14/09/2020,310
32,11/9/2020,311
33,10/9/2020,308
34,9/9/2020,311
35,8/9/2020,317
36,7/9/2020,312
37,4/9/2020,312
38,3/9/2020,318
39,2/9/2020,312
40,1/9/2020,314
41,31/08/2020,319
42,28/08/2020,320
43,27/08/2020,327
44,26/08/2020,334
45,25/08/2020,334
46,24/08/2020,329
47,21/08/2020,333
48,20/08/2020,338
49,19/08/2020,327
50,18/08/2020,325
51,17/08/2020,321
52,14/08/2020,317
53,13/08/2020,307
54,12/8/2020,307
55,11/8/2020,298
56,10/8/2020,309
57,7/8/2020,317
58,6/8/2020,323
59,5/8/2020,323
60,4/8/2020,333
61,3/8/2020,329
62,31/07/2020,334
63,30/07/2020,342
64,29/07/2020,340
65,28/07/2020,349
66,27/07/2020,346
67,24/07/2020,352
68,23/07/2020,351
69,22/07/2020,342
70,21/07/2020,346
71,20/07/2020,355
72,17/07/2020,364
73,16/07/2020,375
74,15/07/2020,376
75,14/07/2020,685
76,13/07/2020,377
77,10/7/2020,382
78,9/7/2020,382
79,8/7/2020,374
80,7/7/2020,375
81,6/7/2020,362
82,3/7/2020,366
83,2/7/2020,366
84,1/7/2020,372
85,30/06/2020,380
86,29/06/2020,384
87,26/06/2020,384
88,25/06/2020,377
89,24/06/2020,376
90,23/06/2020,375
91,22/06/2020,375
92,19/06/2020,377
93,18/06/2020,380
94,17/06/2020,374
95,16/06/2020,367
96,15/06/2020,387
97,12/6/2020,384
98,11/6/2020,389
99,10/6/2020,355
100,9/6/2020,344
101,8/6/2020,332
102,5/6/2020,334
103,4/6/2020,348
104,3/6/2020,351
105,2/6/2020,375
106,1/6/2020,386
107,29/05/2020,392
108,28/05/2020,379
109,27/05/2020,384
110,26/05/2020,387
111,25/05/2020,405
112,22/05/2020,405
113,21/05/2020,405
114,20/05/2020,420
115,19/05/2020,429
116,18/05/2020,427
117,15/05/2020,451
118,14/05/2020,450
119,13/05/2020,438
120,12/5/2020,420
121,11/5/2020,414
122,8/5/2020,419
123,7/5/2020,432
124,6/5/2020,429
125,5/5/2020,423
126,4/5/2020,426
127,1/5/2020,422
128,30/04/2020,422
129,29/04/2020,446
130,28/04/2020,470
131,27/04/2020,475
132,24/04/2020,473
133,23/04/2020,442
134,22/04/2020,426
135,21/04/2020,421
136,20/04/2020,403
137,17/04/2020,397
138,16/04/2020,400
139,15/04/2020,394
140,14/04/2020,366
141,13/04/2020,374
142,9/4/2020,390
143,8/4/2020,415
144,7/4/2020,418
145,6/4/2020,437
146,3/4/2020,445
147,2/4/2020,427
148,1/4/2020,414
149,31/03/2020,389
150,30/03/2020,393
151,27/03/2020,375
