,Year,Export volume in billion U.S. dollars
0,2019,13.12
1,2018,13.01
2,2017,12.87
3,2016,11.77
4,2015,12.28
5,2014,13.07
6,2013,13.02
7,2012,12.82
8,2011,14.26
9,2010,14.08
10,2009,10.4
11,2008,12.95
12,2007,11.68
13,2006,12.44
14,2005,10.46
15,2004,10.85
16,2003,10.91
17,2002,10.34
18,2001,9.36
19,2000,10.94
20,1999,9.06
21,1998,8.96
22,1997,10.78
23,1996,8.55
24,1995,8.82
25,1994,6.97
26,1993,6.06
27,1992,4.36
28,1991,3.9
29,1990,3.43
30,1989,2.87
31,1988,2.14
32,1987,1.9
33,1986,1.73
34,1985,1.54
