,Tennis player,Number of ranking points
0,Yuling Zhu (China),16524
1,Shiwen Liu (China),15669
2,Meng Chen (China),15294
3,Kasumi Ishikawa (Japan),15135
4,Manyu Wang (China),15105
5,Ning Ding (China),14784
6,Mima Ito (Japan),13910
7,I-Ching Cheng (Chinese Taipei),13231
8,Miu Hirano (Japan),13193
9,Xingtong Chen (China),12708
10,Tianwei Feng (Singapore),12565
11,Hyowon Suh (Korea),11954
12,Hoi Kem Doo (Hong Kong),11940
13,Hitomi Sato (Japan),11898
14,Yuting Gu (China),11607
15,Saki Shibata (Japan),10851
16,Sofia Polcanova (Austria),10618
17,Jie Li (Netherlands),10406
18,Ho Ching Lee (Hong Hong),10395
19,Elizabeta Samara (Romania),10063
