,Clubs with most games played in the UEFA Europa League,Games played
0,PC Intemazionale Milano,187
1,Sporting Clube de Portugal,185
2,Club Brugge,180
3,Sevilla FC,141
4,Tottenham Hotspur,140
5,PSV Eindhoven,155
6,RSC Anderlecht,154
7,AFC Ajax,143
8,Juventus,120
9,FC Girondins de Bordeaux,142
10,Valencia CF,133
11,Liverpool FC,124
12,SS Lazio,137
13,AZ Alkmaar,136
14,AS Rama,130
15,VfB Stuttgart,132
16,SL Benfica,128
17,Club Atletieo de Madrid,117
18,Hamburger SV,124
19,Athletic Club,136
20,FCSB,142
21,Feyenoord,139
22,FK Crvena zvezdo,140
23,PAOK FC,142
24,Villarreal CF,112
