,State,Share of households
0,Washington,90.7%
1,Utah,90.4%
2,Colorado,90.4%
3,California,89.2%
4,New Hampshire,88.5%
5,Oregon,88.5%
6,New Jersey,88.5%
7,Maryland,88.3%
8,Massachusetts,88.1%
9,Idaho,88%
10,Delaware,87.9%
11,Connecticut,87.8%
12,Hawaii,87.5%
13,Alaska,87.4%
14,Minnesota,87.3%
15,Wyoming,86.9%
16,District of Columbia,86.6%
17,Arizona,86.6%
18,Rhode Island,86.6%
19,Nebraska,86.3%
20,Florida,86.2%
21,Virginia,86.1%
22,Texas,85.5%
23,Wisconsin,85.3%
24,New York,85.3%
25,Illinois,85.2%
26,Nevada,85%
27,Michigan,85%
28,Pennsylvania,84.7%
29,Ohio,84.6%
30,North Carolina,84.5%
31,Kansas,84.5%
32,Montana,84.4%
33,South Dakota,84.4%
34,Maine,84.2%
35,Georgia,84.2%
36,Missouri,83.9%
37,Iowa,83.3%
38,North Dakota,83.2%
39,Indiana,83.1%
40,Oklahoma,82.8%
41,Vermont,82.6%
42,Kentucky,82.3%
43,Tennessee,82.1%
44,South Carolina,82%
45,Alabama,80.6%
46,West Virginia,79.7%
47,Louisiana,79.3%
48,Arkansas,79.1%
49,New Mexico,77.9%
50,Mississippi,75.9%
51,Puerto Rico,65%
