,Causes,Total amount donated in million U.S. dollars
0,Human Services,89.0
1,Education,45.4
2,Health Care,39.9
3,"International, Foreign Affairs & National Security",31.0
4,Youth Development,30.9
5,"Philanthropy, Voluntarism & Grantmaking Foundations",29.6
6,Housing & Shelter,23.6
7,Animal-Related,23.5
8,Religion-Related,22.6
9,"Food, Agriculture & Nutrition",22.4
10,"Civil Rights, Social Action & Advocacy",21.7
11,Community Improvement & Capacity Building,20.6
12,"Arts, Culture & Humanities",20.5
13,Voluntary Health Associations & Medical Disciplines,19.8
14,Public & Societal Benefit,19.2
15,"Public Safety, Disaster Preparedness & Relief",16.8
16,Crime & Legal-Related,14.7
17,Environment,14.7
18,Mental Health & Crisis Intervention,12.3
19,Recreation & Sports,11.3
20,Medical Research,10.9
21,Employment,7.51
22,Science & Technology,2.39
23,Social Science,1.88
24,Mutual & Membership Benefit,0.84
