,Year,Gross domestic product in billion international dollars
0,2021*,76.86
1,2020*,73.66
2,2019*,75.86
3,2018,73.44
4,2017,68.91
5,2016,65.34
6,2015,62.33
7,2014,59.93
8,2013,56.2
9,2012,52.58
10,2011,47.94
11,2010,44.49
12,2009,39.87
13,2008,36.23
14,2007,32.97
15,2006,29.64
16,2005,26.66
17,2004,24.11
18,2003,21.93
19,2002,20.14
20,2001,18.97
21,2000,17.62
22,1999,16.59
23,1998,15.63
24,1997,15.51
25,1996,14.69
26,1995,13.58
27,1994,12.93
28,1993,14.6
29,1992,14.28
30,1991,13.68
31,1990,13.32
32,1989,12.91
33,1988,12.9
34,1987,11.4
35,1986,10.96
36,1985,10.57
37,1984,10.12
