,Year,Export volume in billion U.S. dollars
0,2019,549.07
1,2018,565.21
2,2017,525.98
3,2016,496.96
4,2015,517.32
5,2014,553.82
6,2013,526.71
7,2012,508.53
8,2011,479.58
9,2010,412.92
10,2009,333.55
11,2008,412.37
12,2007,384.81
13,2006,364.38
14,2005,332.15
15,2004,300.61
16,2003,267.34
17,2002,258.39
18,2001,264.72
19,2000,290.29
20,1999,253.51
21,1998,235.38
22,1997,223.16
23,1996,191.0
24,1995,173.52
25,1994,165.28
26,1993,142.03
27,1992,131.19
28,1991,118.43
29,1990,111.95
30,1989,103.79
31,1988,92.25
32,1987,74.4
33,1986,57.72
34,1985,60.89
