,Year,Gross domestic product in billion U.S. dollars
0,2024*,10.21
1,2023*,9.82
2,2022*,9.45
3,2021*,9.07
4,2020*,8.71
5,2019*,8.82
6,2018,9.66
7,2017,8.41
8,2016,7.98
9,2015,8.72
10,2014,8.78
11,2013,8.45
12,2012,7.89
13,2011,7.52
14,2010,6.62
15,2009,6.58
16,2008,6.55
17,2007,5.89
18,2006,4.76
19,2005,4.31
20,2004,3.54
21,2003,2.96
22,2002,3.47
23,2001,3.6
24,2000,3.95
25,1999,4.15
26,1998,3.72
27,1997,3.34
28,1996,2.91
29,1995,2.81
30,1994,1.78
31,1993,0.61
32,1992,0.53
33,1991,0.89
34,1990,0.99
35,1989,0.78
36,1988,0.84
37,1987,1.28
38,1986,2.6
39,1985,2.34
40,1984,2.11
