,Quarter,Expenditure in million GBP
0,Q4 2019,11279
1,Q3 2019,11271
2,Q2 2019,11196
3,Q1 2019,11330
4,Q4 2018,11277
5,Q3 2018,11187
6,Q2 2018,11197
7,Q1 2018,10773
8,Q4 2017,10638
9,Q3 2017,10464
10,Q2 2017,10475
11,Q1 2017,10183
12,Q4 2016,10230
13,Q3 2016,10263
14,Q2 2016,10326
15,Q1 2016,10178
16,Q4 2015,10235
17,Q3 2015,10170
18,Q2 2015,10151
19,Q1 2015,10337
20,Q4 2014,10444
21,Q3 2014,10516
22,Q2 2014,10464
23,Q1 2014,10790
24,Q4 2013,10645
25,Q3 2013,10761
26,Q2 2013,10316
27,Q1 2013,10654
28,Q4 2012,10318
29,Q3 2012,10211
30,Q2 2012,10217
31,Q1 2012,10437
