,Year,Inflation rate compared to previous year
0,2025*,2.82%
1,2024*,2.81%
2,2023*,2.5%
3,2022*,2.2%
4,2021*,2.5%
5,2020*,2.8%
6,2019,2.19%
7,2018,3.67%
8,2017,1.3%
9,2016,0.13%
10,2015,1.92%
11,2014,-1.24%
12,2013,-0.21%
13,2012,6.19%
14,2011,2.88%
15,2010,-0.2%
16,2009,14.64%
17,2008,6.27%
18,2007,4.48%
19,2006,3.23%
20,2005,7.82%
21,2004,7.85%
22,2003,4.37%
23,2002,7.43%
24,2001,1.89%
25,2000,-0.17%
26,1999,0.37%
27,1998,5.4%
28,1997,6.9%
29,1996,5.42%
30,1995,-2.93%
31,1994,12.09%
32,1993,1.71%
33,1992,9.03%
34,1991,-1.82%
35,1990,8.48%
36,1989,12.25%
37,1988,3.19%
38,1987,11.16%
39,1986,2.68%
40,1985,9.09%
