,department,"Positive tests per 100,000 habitants"
0,Guadeloupe,259.2
1,Paris,256.0
2,Rhône,211.1
3,Nord,205.4
4,Haute-Garonne,193.6
5,Hauts-de-Seine,184.4
6,Bouches-du-Rhône,181.2
7,Seine-Saint-Denis,167.1
8,Loire,162.7
9,Isère,161.0
10,Val-de-Marne,158.3
11,Val-d'Oise,132.8
12,Seine-Maritime,113.2
13,Tarn,112.7
14,Ille-et-Vilaine,112.4
15,Saint-Barthélemy,112.3
16,Essonne,112.2
17,Côte-d'Or,110.0
18,Yvelines,107.2
19,Gard,106.5
20,Pas-de-Calais,101.9
21,Gironde,100.5
22,Ariège,98.4
23,Oise,94.4
24,Hérault,93.6
25,Somme,91.6
26,Tarn-et-Garonne,85.3
27,Seine-et-Marne,85.1
28,Pyrénées-Atlantiques,82.7
29,Puy-de-Dôme,82.4
30,Vaucluse,81.6
31,Saint-Martin,81.1
32,Alpes-Maritimes,79.3
33,Landes,78.9
34,Martinique,78.6
35,Eure,78.1
36,Haute-Vienne,77.7
37,Loiret,76.7
38,Aveyron,75.8
39,Ain,74.7
40,Gers,74.7
41,Hautes-Pyrénées,73.2
42,Haute-Loire,73.2
43,Pyrénées-Orientales,72.4
44,Indre-et-Loire,68.9
45,Yonne,68.7
46,Saône-et-Loire,68.6
47,Alpes-de-Haute-Provence,68.4
48,Vienne,68.1
49,Marne,67.4
50,Savoie,66.4
51,Maine-et-Loire,66.2
52,Guyane,65.7
53,Drôme,64.9
54,Lot-et-Garonne,63.9
55,Sarthe,63.7
56,Aude,63.6
57,Calvados,62.9
58,Loire-Atlantique,62.4
59,Corse-du-Sud,59.7
60,Lozère,57.7
61,Réunion,57.6
62,Mayenne,57.3
63,Doubs,56.7
64,Corrèze,55.8
65,Var,52.5
66,Hautes-Alpes,51.5
67,Eure-et-Loir,48.9
68,Jura,47.3
69,Haute-Savoie,47.3
70,Aisne,47.1
71,Lot,46.2
72,Bas-Rhin,45.7
73,Meurthe-et-Moselle,42.2
74,Orne,41.2
75,Aube,41.0
76,Charente,40.5
77,Vendée,40.1
78,Cantal,38.5
79,Dordogne,37.7
80,Ardèche,37.6
81,Morbihan,36.7
82,Loir-et-Cher,35.7
83,Mayotte,35.1
84,Finistère,32.8
85,Nièvre,32.1
86,Haute-Corse,31.8
87,Côtes-d'Armor,30.2
88,Ardennes,29.8
89,Haut-Rhin,29.7
90,Moselle,28.9
91,Territoire de Belfort,28.5
92,Cher,28.3
93,Allier,27.8
94,Meuse,27.0
95,Manche,26.9
96,Haute-Marne,25.4
97,Indre,24.4
98,Deux-Sèvres,23.1
99,Haute-Saône,22.7
100,Charente-Maritime,20.9
101,Creuse,18.1
102,Vosges,17.8
103,Miquelon-Langlade et Saint Pierre,0.0
