,Movie,Box office revenue in million U.S. dollars
0,Avengers: Endgame,357.12
1,Avengers: Infinity War,257.7
2,Star Wars: Episode VII - The Force Awakens,247.97
3,Star Wars: Episode VIII - The Last Jedi,220.01
4,Jurassic World,208.81
5,The Avengers,207.44
6,Black Panther,202.0
7,The Lion King,191.77
8,Avengers: Age of Ultron,191.27
9,Incredibles 2,182.69
10,Captain America: Civil War,179.14
11,Star Wars: Episode IX - The Rise of Skywalker,177.38
12,Beauty and the Beast,174.75
13,Iron Man 3,174.14
14,Harry Potter and the Deathly Hallows: Part 2,169.19
