,Metropolitan Area,Land Area in square kilometers
0,"Riverside-San Bernardino-Ontario, CA",70612
1,"Phoenix-Mesa-Scottsdale, AZ",37725
2,"Albuquerque, NM",24042
3,"Dallas-Fort Worth-Arlington, TX",24029
4,"Tucson, AZ",23794
5,"Atlanta-Sandy Springs-Roswell, GA",22498
6,"Denver-Aurora-Lakewood, CO",21616
7,"New York-Newark-Jersey City, NY-NJ-PA",21480
8,"Houston-The Woodlands-Sugar Land, TX",21388
9,"Bakersfield, CA",21062
10,"Las Vegas-Henderson-Paradise, NV",20439
11,"St. Louis, MO-IL",20366
12,"Salt Lake City, UT",19901
13,"Minneapolis-St. Paul-Bloomington, MN-WI",19779
14,"San Antonio-New Braunfels, TX",18941
15,"Kansas City, MO-KS",18793
16,"Chicago-Naperville-Elgin, IL-IN-WI",18638
17,"Portland-Vancouver-Hillsboro, OR-WA",17311
18,"Nashville-Davidson--Murfreesboro--Franklin, TN",16320
19,"Tulsa, OK",16237
