,Country,Number of FIFA referees
0,Germany,20
1,Brazil,20
2,Italy,20
3,France,20
4,Mexico,20
5,Spain,20
6,Portugal,19
7,Russia,19
8,Argentina,19
9,England,17
10,Belgium,17
11,Denmark,17
12,Greece,17
13,Netherlands,17
14,Austria,17
15,Poland,17
16,Romania,17
17,Scotland,17
18,Sweden,17
19,Switzerland,17
20,Turkey,17
21,Ukraine,17
22,United States,16
23,Norway,16
24,Hungary,16
25,Bulgaria,16
26,China,16
27,Iran,16
28,Japan,16
29,South Korea,16
30,Croatia,16
31,Uzbekistan,16
32,United Arab Emirates,16
