,Year,Inflation rate compared to previous year
0,2025*,3%
1,2024*,3%
2,2023*,2.99%
3,2022*,2.96%
4,2021*,3.26%
5,2020*,3.4%
6,2019,3.64%
7,2018,4.9%
8,2017,6.04%
9,2016,2.82%
10,2015,2.72%
11,2014,4.02%
12,2013,3.8%
13,2012,4.11%
14,2011,3.4%
15,2010,4.16%
16,2009,5.3%
17,2008,5.13%
18,2007,3.97%
19,2006,3.63%
20,2005,3.99%
21,2004,4.69%
22,2003,4.55%
23,2002,5.04%
24,2001,6.37%
25,2000,9.49%
26,1999,16.57%
27,1998,15.92%
28,1997,20.6%
29,1996,34.35%
30,1995,35.06%
31,1994,6.99%
32,1993,9.76%
33,1992,15.52%
34,1991,22.61%
35,1990,26.65%
36,1989,19.92%
37,1988,113.5%
38,1987,131.97%
39,1986,86.46%
40,1985,57.79%
