,Quarter,Share of shipments
0,Q4 '19,15.2%
1,Q3 '19,18.6%
2,Q2 '19,17.6%
3,Q1 '19,19%
4,Q4 '18,16.1%
5,Q3 '18,14.6%
6,Q2 '18,15.9%
7,Q1 '18,11.8%
8,Q4 '17,10.2%
9,Q3 '17,10.4%
10,Q2 '17,11%
11,Q1 '17,10%
12,Q4 '16,10.5%
13,Q3 '16,9.3%
14,Q2 '16,9.4%
15,Q1 '16,8.4%
16,Q4 '15,8.2%
17,Q3 '15,7.6%
18,Q2 '15,8.6%
19,Q1 '15,5.2%
20,Q4 '14,6.3%
21,Q3 '14,5%
22,Q2 '14,6.9%
23,Q1 '14,4.9%
24,Q4 '13,5.8%
25,Q3 '13,4.8%
26,Q2 '13,4.3%
27,Q1 '13,4.3%
28,Q4 '12,4.6%
29,Q3 '12,3.8%
30,Q2 '12,4.1%
31,Q1 '12,3.3%
