,Gaming influencer,Number of subscribers
0,SQUEEZIE,13.8
1,CyprienGaming,6.48
2,Amixem,5.92
3,SUP3R KONAR !,4.32
4,HugoPOSAY,4.28
5,Le Bled'Art,4.25
6,GOTAGA,3.51
7,joueurdugrenier,3.35
8,VodKprod,3.2
9,TheKAIRI78,3.16
10,LaSalle,3.06
11,GameMixTreize,3.05
12,LEGRANDJD,2.79
13,Furious Jumper,2.74
14,Skyrroz,2.25
15,Siphano,2.23
16,Le Show Jaune,2.1
17,GotagaTV,2.04
18,MrLEV12,1.97
19,FantaBobGames,1.96
20,Frigiel,1.94
21,Wankil Studio - Laink et Terracid,1.86
22,Trash,1.75
23,Aiekillu,1.72
24,DavidLafargePokemon,1.69
25,Diabl0x9,1.69
26,Djadja & Dinaz,1.64
27,bySankah Officiel,1.63
28,CBGames,1.63
29,Bazar du Grenier,1.58
