,Industry,Real value added in billion chained (2012) U.S. dollars
0,"Finance, insurance, real estate, rental, and leasing",91.78
1,Manufacturing,91.23
2,Professional and business services,67.91
3,Government and government enterprises,66.29
4,"Educational services, health care, and social assistance",42.34
5,Wholesale trade,29.66
6,Retail trade,29.43
7,Information,22.82
8,"Arts, entertainment, recreation, accommodation, and food services",18.15
9,Construction,17.38
10,Transportation and warehousing,11.86
11,Utilities,7.63
12,"Agriculture, forestry, fishing, and hunting",5.47
13,"Mining, quarrying, and oil and gas extraction",0.63
