,State,Population in thousands
0,California,15574.88
1,Texas,11524.84
2,Florida,5663.63
3,New York,3749.26
4,Arizona,2310.59
5,Illinois,2216.3
6,New Jersey,1856.85
7,Colorado,1256.9
8,Georgia,1042.64
9,New Mexico,1032.95
10,North Carolina,1023.0
11,Pennsylvania,997.83
12,Washington,991.72
13,Nevada,900.6
14,Massachusetts,853.74
15,Virginia,828.15
16,Maryland,643.17
17,Connecticut,600.95
18,Oregon,566.84
19,Michigan,525.97
20,Indiana,485.55
21,Ohio,467.59
22,Utah,462.05
23,Oklahoma,438.11
24,Wisconsin,412.77
25,Tennessee,389.13
26,Kansas,354.8
27,Minnesota,314.22
28,South Carolina,298.48
29,Missouri,264.33
30,Louisiana,250.2
31,Arkansas,231.95
32,Idaho,229.49
33,Nebraska,219.47
34,Alabama,219.3
35,Iowa,197.48
36,Rhode Island,172.64
37,Kentucky,168.02
38,Hawaii,150.86
39,Delaware,93.39
40,Mississippi,90.14
41,District of Columbia,79.48
42,Wyoming,58.61
43,New Hampshire,54.18
44,Alaska,52.55
45,Montana,40.33
46,South Dakota,33.02
47,North Dakota,30.49
48,West Virginia,26.82
49,Maine,23.07
50,Vermont,12.41
