,Month,Inflation rate
0,Jul '20,3.5%
1,Jun '20,4.2%
2,May '20,2.7%
3,Apr '20,2.5%
4,Mar '20,1.8%
5,Feb '20,1.8%
6,Jan '20,3.1%
7,Dec '19,4.8%
8,Nov '19,6.6%
9,Oct '19,8.2%
10,Sep '19,8.8%
11,Aug '19,10.2%
12,Jul '19,9.9%
13,Jun '19,8.5%
14,May '19,9.2%
15,Apr '19,7.4%
16,Mar '19,7%
17,Feb '19,7.8%
18,Jan '19,7.9%
19,Dec '18,7.8%
20,Nov '18,7.5%
21,Oct '18,7%
22,Sep '18,6.7%
23,Aug '18,7.1%
24,Jul '18,7.1%
25,Jun '18,9.5%
26,May '18,13.7%
27,Apr '18,17.2%
28,Mar '18,17.3%
29,Feb '18,17.3%
30,Jan '18,17.9%
31,Dec '17,17.7%
32,Nov '17,17.9%
33,Oct '17,18%
34,Sep '17,18.8%
35,Aug '17,16.8%
36,Jul '17,16.3%
37,Jun '17,15%
38,May '17,10.6%
39,Apr '17,8.3%
40,Mar '17,7.2%
41,Feb '17,5.3%
42,Jan '17,3%
43,Dec '16,3.3%
44,Nov '16,3.4%
45,Oct '16,4.9%
46,Sep '16,4.2%
47,Aug '16,5.1%
48,Jul '16,4.4%
49,Jun '16,3.2%
50,May '16,3.9%
51,Apr '16,6.9%
52,Mar '16,11.4%
53,Feb '16,29.7%
54,Jan '16,38.1%
55,Dec '15,41.5%
56,Nov '15,44.7%
57,Oct '15,43%
58,Sep '15,45.1%
59,Aug '15,47.5%
60,Jul '15,49.9%
61,Jun '15,51.9%
62,May '15,53%
