,Formula 1 drivers,Number of championship points
0,"Hamilton , Lewis",3778.0
1,"Vettel , Sebastian",3018.0
2,"Alonso , Fernando",1899.0
3,"Raikkonen , Kimi",1863.0
4,"Rosberg , Nico",1594.5
5,"Schumacher , Michael",1566.0
6,"Bottas , Valtteri",1512.0
7,"Button , Jenson",1235.0
8,"Massa , Felipe",1167.0
9,"Verstappen , Max",1162.0
10,"Ricciardo , Daniel",1159.0
11,"Webber , Mark",1047.5
12,"Cheers , Alain",798.5
13,"Perez , Sergio",706.0
14,"Barrichello , Rubens",658.0
15,"Senna , Ayrton",614.0
16,"Coulthard , David",535.0
17,"Hulkenberg , Nico",521.0
18,"Piquet , Nelson",485.5
19,"Mansell , Nigel",482.0
