,Year,Gross domestic product in billion international dollars
0,2021*,556.16
1,2020*,525.05
2,2019,549.2
3,2018,518.63
4,2017,484.79
5,2016,444.24
6,2015,419.54
7,2014,399.74
8,2013,379.53
9,2012,360.33
10,2011,346.35
11,2010,332.59
12,2009,342.1
13,2008,359.34
14,2007,322.47
15,2006,292.85
16,2005,263.12
17,2004,243.79
18,2003,214.98
19,2002,206.24
20,2001,192.07
21,2000,178.63
22,1999,169.76
23,1998,169.29
24,1997,175.88
25,1996,184.04
26,1995,173.87
27,1994,158.95
28,1993,149.74
29,1992,144.07
30,1991,154.4
31,1990,171.52
32,1989,175.16
33,1988,178.93
34,1987,173.71
35,1986,168.17
36,1985,160.99
37,1984,156.21
