,Year,Inflation rate compared to previous year
0,2025*,5.49%
1,2024*,5.49%
2,2023*,5.49%
3,2022*,5.49%
4,2021*,5.88%
5,2020*,5.65%
6,2019,5.48%
7,2018,5.78%
8,2017,5.44%
9,2016,5.92%
10,2015,6.41%
11,2014,7.01%
12,2013,7.54%
13,2012,6.23%
14,2011,11.46%
15,2010,9.37%
16,2009,4.91%
17,2008,8.9%
18,2007,9.11%
19,2006,6.77%
20,2005,7.04%
21,2004,6.1%
22,2003,5.36%
23,2002,3.72%
24,2001,1.91%
25,2000,2.48%
26,1999,6.18%
27,1998,8.65%
28,1997,4.96%
29,1996,2.46%
30,1995,10.12%
31,1994,6.15%
32,1993,2.98%
33,1992,3.62%
34,1991,8.29%
35,1990,10.52%
36,1989,8.73%
37,1988,9.67%
38,1987,10.83%
39,1986,10.18%
40,1985,10.47%
