,Country,GDP per capita international dollars (at purchasing power parity)
0,Macao SAR,121763.76
1,Luxembourg,120490.33
2,Singapore,101458.1
3,Qatar,95107.74
4,Ireland,91958.85
5,Switzerland,72008.02
6,Norway,66214.05
7,United States,65253.52
8,United Arab Emirates,63589.8
9,San Marino,63133.0
10,Hong Kong SAR,62267.4
11,Brunei Darussalam,61032.84
12,Denmark,59719.02
13,Netherlands,59693.37
14,Iceland,58965.05
15,Austria,58849.55
16,Germany,56226.22
17,Sweden,55264.97
18,Belgium,54028.79
19,Taiwan Province of China,53274.55
20,Australia,52725.75
21,Bahrain,51891.51
22,Canada,51190.13
23,Finland,50748.17
24,France,49798.55
