,Month,Sales in million Canadian dollars
0,Sep '20,2909.39
1,Aug '20,2909.39
2,Jul '20,2886.23
3,Jun '20,3412.88
4,May '20,3913.56
5,Apr '20,3628.8
6,Mar '20,2200.43
7,Feb '20,1591.63
8,Jan '20,1666.87
9,Dec '19,2762.11
10,Nov '19,2437.53
11,Oct '19,1843.58
12,Sep '19,1875.34
13,Aug '19,1811.66
14,Jul '19,1781.0
15,Jun '19,1911.25
16,May '19,1835.28
17,Apr '19,1557.41
18,Mar '19,1553.2
19,Feb '19,1328.48
20,Jan '19,1512.63
21,Dec '18,2004.06
22,Nov '18,2276.39
23,Oct '18,1613.7
24,Sep '18,1414.5
25,Aug '18,1442.92
26,Jul '18,1325.69
27,Jun '18,1461.31
28,May '18,1459.62
29,Apr '18,1355.79
30,Mar '18,1304.5
31,Feb '18,1100.77
32,Jan '18,1287.47
33,Dec '17,1920.65
34,Nov '17,1874.01
35,Oct '17,1323.36
36,Sept '17,1235.56
37,Aug '17,1234.76
38,Jul '17,1215.86
39,Jun '17,1227.35
40,May '17,1238.8
41,Apr '17,1218.38
42,Mar '17,1141.64
43,Feb '17,953.18
44,Jan '17,1110.05
45,Dec '16,1757.31
46,Nov '16,1427.87
47,Oct '16,1067.24
48,Sept '16,1016.2
49,Aug '16,916.18
50,Jul '16,874.36
51,Jun '16,896.83
52,May '16,916.24
53,Apr '16,916.71
54,Mar '16,865.68
55,Feb '16,789.55
56,Jan '16,877.35
