,Country,Excise tax in euros per hectolitre of beer
0,Finland,153.84
1,Ireland,108.24
2,UK,100.42
3,Sweden,100.23
4,Estonia,74.5
5,Greece,60.0
6,Slovenia,58.08
7,Netherlands,37.96
8,Italy,36.24
9,Denmark,36.16
10,France,35.57
11,Lithuania,34.13
12,Cyprus,28.8
13,Croatia,25.89
14,Hungary,25.22
15,Belgium,24.05
16,Austria,24.0
17,Malta,23.16
18,Poland,22.03
19,Portugal,20.6
20,Latvia,20.16
21,Slovakia,17.22
22,Czech Republic,14.69
23,Spain,9.96
24,Luxembourg,9.52
25,Germany,9.44
26,Bulgaria,9.2
27,Romania,8.63
