,Leading players of the national football team of Serbia ,Market value in million euros
0,Sergej Milinkovic-Savic,90.0
1,Nemanja Matic,40.0
2,Andrija Zivkovic,18.0
3,Dusan Tadic,15.0
4,Luka Milivojevic,15.0
5,Adem Ljajic,13.0
6,Aleksandar Kolarov,12.0
7,Nikola Milenkovic,9.0
8,Aleksandar Mitrovic,8.0
9,Luka Jovic,8.0
10,Milos Veljkovic,6.5
11,Aleksandar Prijovic,6.0
12,Filip Kostic,6.0
13,Uros Spajic,5.0
14,Marko Grujic,5.0
15,Marko Dmitrovic,4.0
16,Branislav Ivanovic,3.0
17,Predrag Rajkovic,2.5
18,Nemanja Radonjic,2.5
19,Dusko Tosic,2.0
20,Milan Rodic,1.2
21,Antonio Rukavina,1.0
22,Vladimir Stojkovic,0.75
