,city,PM2.5 concentration in μg/m³
0,Coyhaique (Chile),41.5
1,Toluca (Mexico),29.4
2,Santiago (Chile),27.7
3,Puerto Montt (Chile),26.4
4,Lima (Peru),23.7
5,Sabaneta (Colombia),22.4
6,Leon (Mexico),20.9
7,Mexico  City (Mexico),20.5
8,San Benito (Guatemala),20.2
9,Campinas (Brazil),20.0
10,Medellín (Colombia),19.9
11,Monterrey (Mexico),19.3
12,Guadalajara (Mexico),18.9
13,Trujillo (Peru),18.1
14,Santos (Brazil),15.4
15,São Paulo  (Brazil),15.3
16,Valparaíso (Chile),14.4
17,Bogotá  (Colombia),13.1
18,Buenos Aires (Argentina),12.4
19,Quito (Ecuador),8.6
