,player,Market value in million euros
0,Lionel Messi (Argentina),120
1,Cristiano Ronaldo (Portugal),100
2,Edinson Cavani (Uruguay),60
3,Neymar (Brazil),60
4,Andrés Iniesta (Spain),55
5,Mario Götze (Germany),55
6,Luis Suárez (Uruguay),52
7,Cesc Fàbregas (Spain),50
8,Mesut Özil (Germany),50
9,Hulk (Brazil),48
10,Wayne Rooney (England),45
11,Kun Agüero (Argentina),45
12,Eden Hazard (Belgium),45
13,Thomas Müller (Germany),45
14,Sergio Busquets (Spain),45
15,Paul Pogba (France),45
16,Arturo Vidal (Chile),44
17,Franck Ribéry (France),42
18,Bastian Schweinsteiger (Germany),40
19,Robin van Persie (The Netherlands),40
20,Luka Modric (Croatia),40
21,Thiago Silva (Brazil),40
22,Toni Kroos (Germany),40
23,Marco Reus (Germany),40
