,Year,"Number of cases per 100,000 population"
0,1930,199.67
1,1940,288.26
2,1950,260.1
3,1986,198.6
4,1990,97.29
5,1991,135.46
6,1992,208.86
7,1993,295.55
8,1994,237.62
9,1995,239.2
10,1996,122.9
11,1997,174.64
12,1998,190.54
13,1999,144.25
14,2000,202.61
15,2001,106.39
16,2002,118.12
17,2003,103.75
18,2004,10.12
19,2005,10.08
20,2006,5.92
21,2007,4.89
22,2008,6.33
23,2009,18.08
24,2010,28.92
25,2011,3.67
26,2012,1.89
27,2013,2.4
28,2014,3.74
29,2015,3.68
30,2016,2.97
31,2017,1.63
32,2018,1.72
