,Month,Index number of sales per week
0,Nov 20,111.5
1,Oct 20,117.6
2,Sep 20,106.6
3,Aug 20,111.4
4,July 20,112.5
5,Jun 20,113.4
6,May 20,83.5
7,Apr 20,75.4
8,Mar 20,104.5
9,Feb 20,103.0
10,Jan 20,101.2
11,Dec 19,103.3
12,Nov 19,102.5
13,Oct 19,100.0
14,Sep 19,108.4
15,Aug 19,97.6
16,Jul 19,98.7
17,Jun 19,96.0
18,May 19,100.1
19,Apr 19,98.1
20,Mar 19,110.3
21,Feb 19,97.8
22,Jan 19,97.2
23,Dec 18,96.5
24,Nov 18,106.4
25,Oct 18,99.3
26,Sep 18,100.3
27,Aug 18,101.7
28,Jul 18,98.3
29,Jun 18,98.4
30,May 18,99.6
31,Apr 18,101.3
32,Mar 18,100.2
33,Feb 18,98.7
34,Jan 18,100.4
35,Dec 17,95.7
36,Nov 17,102.5
37,Oct 17,99.6
38,Sep 17,98.5
39,Aug 17,100.5
40,Jul 17,98.3
41,Jun 17,98.1
42,May 17,94.5
43,Apr 17,97.3
44,Mar 17,97.5
45,Feb 17,96.7
46,Jan 17,96.1
47,Dec 16,95.8
48,Nov 16,92.5
49,Oct 16,92.6
50,Sep 16,93.4
51,Aug 16,88.6
52,Jul 16,93.0
53,Jun 16,93.1
54,May 16,96.5
55,Apr 16,82.4
56,Mar 16,88.4
57,Feb 16,90.2
58,Jan 16,91.7
