,State,Registrations in units
0,California,808377
1,Florida,591267
2,Ohio,406543
3,New York,384622
4,Pennsylvania,366641
5,Texas,351367
6,Montana,338845
7,Illinois**,314802
8,Wisconsin**,283874
9,Michigan **,253040
10,Indiana,252280
11,Minnesota**,234786
12,Washington**,232371
13,Georgia,203985
14,Virginia,193813
15,Iowa,192617
16,North Carolina,187849
17,Colorado,185875
18,Tennessee,184889
19,Arkansas,169796
20,Massachusetts**,162989
21,Arizona,160486
22,New Jersey**,148363
23,Missouri **,135954
24,Oregon,134899
25,Oklahoma**,129448
26,South Dakota,124037
27,South Carolina,116510
28,Maryland,113195
29,Kentucky,112177
30,Alabama,107730
31,Utah,105909
32,Kansas **,92328
33,Connecticut **,85689
34,New Hampshire,79167
35,Nevada**,74931
36,Idaho,66858
37,New Mexico,60466
38,Nebraska,53832
39,Maine**,51666
40,West Virginia **,46763
41,Louisiana,41200
42,Hawaii,39856
43,North Dakota,38696
44,Mississippi,31509
45,Vermont **,30404
46,Wyoming,28644
47,Delaware,28312
48,Alaska,28129
49,Rhode Island,24175
50,Dist. of Col.,4351
