,Country,Number of awards
0,United States,215
1,Brazil,107
2,United Kingdom,104
3,France,85
4,Australia,63
5,Argentina,45
6,Japan,44
7,Germany,43
8,Spain,37
9,Sweden,34
10,India,27
11,South Africa,27
12,The Netherlands,25
13,New Zealand,25
14,Mexico,23
15,United Arab Emirates,21
16,China,20
17,Italy,15
18,Singapore,15
19,Canada,14
20,Colombia,13
21,Peru,13
22,Austria,11
23,Russia,10
24,Turkey,8
25,Ecuador,8
26,Thailand,8
27,Guatemala,7
28,Belgium,7
29,The Philippines,7
30,Hong Kong,6
31,Switzerland,6
32,Chile,5
33,Uruguay,5
34,Denmark,5
35,Norway,5
36,Puerto Rico,5
37,South Korea,4
38,Czech Republic,3
39,Poland,3
40,Vietnam,2
41,Costa Rica,2
42,Indonesia,2
43,Malaysia,2
44,Paraguay,2
45,Romania,2
46,Pakistan,1
47,Portugal,1
48,Serbia,1
