,Year,Male,Female
0,0-5 years,443658,422404
1,5-10 years,470233,447209
2,10-15 years,489531,466784
3,15-20 years,538304,513715
4,20-25 years,548282,531643
5,25-30 years,569071,552792
6,30-35 years,543375,533531
7,35-40 years,516735,514558
8,40-45 years,510460,514928
9,45-50 years,616540,619179
10,50-55 years,641987,634869
11,55-60 years,616601,614931
12,60-65 years,545999,550840
13,65-70 years,492006,501068
14,70-75 years,445416,467968
15,75-80 years,284920,323806
16,80-85 years,181154,240960
17,85-90 years,91558,158510
18,90-95 years,29673,71290
19,95 years or older,5583,20092
