,Year,GDP in billion U.S. dollars
0,2024*,1670.17
1,2023*,1591.78
2,2022*,1513.75
3,2021*,1440.46
4,2020*,1375.45
5,2019*,1376.26
6,2018,1420.05
7,2017,1386.77
8,2016,1267.75
9,2015,1235.13
10,2014,1457.49
11,2013,1518.34
12,2012,1569.11
13,2011,1513.99
14,2010,1251.72
15,2009,998.94
16,2008,1055.57
17,2007,947.94
18,2006,781.14
19,2005,734.28
20,2004,656.52
21,2003,539.74
22,2002,424.36
23,2001,376.71
24,2000,399.13
25,1999,411.05
26,1998,380.6
27,1997,425.55
28,1996,423.55
29,1995,378.12
30,1994,352.57
31,1993,308.74
32,1992,317.47
33,1991,323.79
34,1990,323.38
35,1989,307.7
36,1988,270.58
37,1987,212.7
38,1986,181.14
39,1985,174.06
40,1984,196.77
