,Exports to,Export value in TIV in million constant (1990) U.S. dollars
0,Saudi Arabia,3353
1,Australia,918
2,United Arab Emirates,799
3,Japan,675
4,South Korea,612
5,Israel,480
6,Qatar,423
7,Norway,346
8,Morocco,333
9,Turkey,293
10,Italy,241
11,Afghanistan,206
12,Egypt,197
13,United Kingdom,194
14,Taiwan,129
15,Canada,121
16,Indonesia,90
17,Lebanon,85
18,Finland,76
19,Poland,72
20,Brazil,60
21,Greece,59
22,Singapore,56
23,Kuwait,55
24,Sri Lanka,54
25,France,50
26,Jordan,50
27,Thailand,49
28,Tunisia,46
29,Chile,44
30,Iraq,40
31,Denmark,32
32,India,25
33,Mexico,18
34,Netherlands,18
35,Slovakia,18
36,Bahrain,15
37,Montenegro,15
38,Spain,14
39,Jamaica,13
40,Romania,13
41,Pakistan,12
42,Ukraine,12
43,Latvia,11
44,Panama,11
45,Ethiopia,10
46,NATO,8
47,Philippines,8
48,Argentina,7
49,New Zealand,6
50,Portugal,6
51,Georgia,4
52,Nigeria,4
53,Algeria,3
54,Colombia,3
55,Guatemala,3
56,Botswana,2
57,Cameroon,2
58,Croatia,2
59,Czech Republic,2
60,Germany,2
61,Senegal,2
62,Uzbekistan,2
63,Belgium,1
64,Honduras,1
